Index,Feature
2,dpkts
15,djit
25,trans_depth
26,response_body_len
77,proto_icmp
131,proto_rtp
178,service_http
179,service_irc
181,service_radius
186,state_ACC
187,state_CLO
189,state_ECO
192,state_PAR
195,state_URN
196,state_no
129,proto_rdp
174,service_dhcp
82,proto_igmp
206,attack_cat_Worms
105,proto_leaf-1
57,proto_crtp
47,proto_ax.25
124,proto_prm
183,service_snmp
73,proto_hmp
170,proto_xns-idp
115,proto_netblt
81,proto_ifmp
98,proto_irtp
132,proto_rvd
130,proto_rsvp
101,proto_iso-tp4
140,proto_sep
134,proto_sat-mon
93,proto_ipv6-frag
162,proto_vines
157,proto_trunk-2
59,proto_dcn
100,proto_iso-ip
60,proto_ddp
146,proto_sps
70,proto_ggp
96,proto_ipv6-route
90,proto_ipnip
156,proto_trunk-1
142,proto_sm
86,proto_ipcomp
108,proto_mfe-nsp
45,proto_aris
114,proto_narp
58,proto_crudp
150,proto_sun-nd
155,proto_tp++
119,proto_pgm
91,proto_ippc
151,proto_swipe
141,proto_skip
78,proto_idpr
76,proto_ib
53,proto_chaos
85,proto_ip
68,proto_fc
133,proto_sat-expak
127,proto_pvp
94,proto_ipv6-no
52,proto_cftp
123,proto_pri-enc
135,proto_sccopmce
64,proto_eigrp
56,proto_cpnx
99,proto_isis
95,proto_ipv6-opts
152,proto_tcf
42,proto_aes-sp3-d
49,proto_bna
80,proto_idrp
61,proto_ddx
158,proto_ttp
122,proto_pnni
121,proto_pipe
149,proto_stp
139,proto_secure-vmtp
145,proto_sprite-rpc
167,proto_wb-mon
136,proto_scps
66,proto_encap
171,proto_xtp
75,proto_iatp
40,proto_3pc
69,proto_fire
166,proto_wb-expak
106,proto_leaf-2
84,proto_il
97,proto_ipx-n-ip
143,proto_smp
87,proto_ipcv
79,proto_idpr-cmtp
112,proto_mtp
107,proto_merit-inp
104,proto_larp
71,proto_gmtp
144,proto_snp
103,proto_l2tp
55,proto_cphb
67,proto_etherip
110,proto_micp
154,proto_tlsp
50,proto_br-sat-mon
89,proto_iplt
102,proto_kryptolan
125,proto_ptp
164,proto_vmtp
138,proto_sdrp
168,proto_wsn
88,proto_ipip
109,proto_mhrp
163,proto_visa
116,proto_nsfnet-igp
54,proto_compaq-peer
165,proto_vrrp
62,proto_dgp
41,proto_a/n
161,proto_uti
128,proto_qnx
147,proto_srp
172,proto_zero
92,proto_ipv6
65,proto_emcon
72,proto_gre
169,proto_xnet
117,proto_nvp
148,proto_st2
43,proto_any
74,proto_i-nlsp
44,proto_argus
83,proto_igp
48,proto_bbn-rcc
126,proto_pup
63,proto_egp
194,state_RST
51,proto_cbt
111,proto_mobile
113,proto_mux
185,service_ssl
120,proto_pim
137,proto_sctp
198,attack_cat_Backdoor
205,attack_cat_Shellcode
184,service_ssh
118,proto_ospf
193,state_REQ
35,ct_flw_http_mthd
197,attack_cat_Analysis
177,service_ftp-data
3,sbytes
10,sloss
11,dloss
33,is_ftp_login
34,ct_ftp_cmd
176,service_ftp
182,service_smtp
204,attack_cat_Reconnaissance
180,service_pop3
9,dload
199,attack_cat_DoS
160,proto_unas
14,sjit
13,dinpkt
12,sinpkt
38,is_sm_ips_ports
46,proto_arp
18,dtcpb
17,stcpb
0,dur
1,spkts
19,dwin
190,state_FIN
16,swin
153,proto_tcp
188,state_CON
191,state_INT
24,dmean
5,rate
202,attack_cat_Generic
23,smean
32,ct_dst_src_ltm
6,sttl
4,dbytes
22,ackdat
201,attack_cat_Fuzzers
28,ct_state_ttl
21,synack
8,sload
39,label
20,tcprtt
175,service_dns
29,ct_dst_ltm
31,ct_dst_sport_ltm
36,ct_src_ltm
200,attack_cat_Exploits
30,ct_src_dport_ltm
7,dttl
159,proto_udp
203,attack_cat_Normal
37,ct_srv_dst
27,ct_srv_src
173,service_-
